Movie,ProductionBudget,DomesticGross,WorldwideGross
Lost Souls,28000000,16779636,31320293
American Ultra,28000000,14439985,30295028
Winged Migration,28000000,11689053,39134983
Pride and Prejudice and Zombies,28000000,10907291,16638300
Mystery Alaska,28000000,8891623,8891623
John Carpenterâs Ghosts of Mars,28000000,8434601,8434601
A Simple Wish,28000000,8165213,8165213
Our Brand is Crisis,28000000,7002261,8594558
Kundun,28000000,5686694,5686694
Hocus Pocus,28000000,44101060,44700035
Alatriste,28000000,0,22860477
No Reservations,28000000,43107979,91943956
30 Minutes or Less,28000000,37053924,41146935
Timecop,28000000,44853581,102053581
Role Models,28000000,67300955,94500826
Straight Outta Compton,28000000,161197785,202182981
Indiana Jones and the Temple of Doom,28000000,179880271,333080271
Zoolander,28000000,45172250,60780981
Girls Trip,28000000,115108515,140886353
The Rugrats Movie,28000000,100494685,140894685
Die Hard,28000000,81350242,139109346
Out of Africa,28000000,79096868,258210860
Along Came a Spider,28000000,74058698,105159085
A Bad Moms Christmas,28000000,72110659,127710550
Safe Haven,28000000,71399120,94050951
The Big Short,28000000,70259870,133162752
Scary Stories to Tell in the Dark,28000000,68947075,95607360
Alexander and the Terrible Horrible No Good …,28000000,66954149,101379287
Tag,28000000,54730625,77024944
Aladdin,28000000,217350219,504050219
Kick-Ass,28000000,48071303,97531134
Serendipity,28000000,50255310,77477297
Identity,28000000,52131264,82119036
The Royal Tenenbaums,28000000,52353636,71430876
For Your Eyes Only,28000000,54800000,195300000
Dawn of the Dead,28000000,58990765,103452875
The Wedding Planner,28000000,60400856,94728529
Last Vegas,28000000,63914167,112914167
Miracle,28000000,64378093,64474705
Star Wars: The Rise of Skywalker,275000000,515202542,1072944222
Solo: A Star Wars Story,275000000,213767512,393151347
Compliance,270000,319285,830700
Rendition,27500000,9736045,26939925
Anonymous,27500000,4463292,15815509
Knocked Up,27500000,148761765,219265952
Notes on a Scandal,27500000,17510118,50578411
My Sisterâs Keeper,27500000,49200230,96673002
A Passage to India,27500000,27187653,27187653
Octopussy,27500000,67900000,187500000
Welcome Home Roscoe Jenkins,27500000,42436517,43607627
Joyful Noise,27500000,30932113,31157914
The Magic Flute,27000000,0,0
Lucy in the Sky,27000000,319976,325943
The Statement,27000000,765637,1545064
Mindhunters,27000000,4476235,16566235
Case 39,27000000,13261851,28773827
Formula 51,27000000,5204007,5204007
Martian Child,27000000,7500310,9352089
Suspect Zero,27000000,8712564,8723600
The Newton Boys,27000000,10341093,10341093
Return to Oz,27000000,10618813,10618813
The Honeymooners,27000000,12834849,13174426
What Just Happened,27000000,1090947,2412123
The Duchess,27000000,13848978,45160110
The Sisterhood of the Traveling Pants 2,27000000,44089964,44270131
Limitless,27000000,79249455,155564919
Star Trek VI: The Undiscovered Country,27000000,74888996,96900000
Dark City,27000000,14435076,27257061
The Divine Secrets of the Ya-Ya Sisterhood,27000000,69586544,73826768
Kiss the Girls,27000000,60527873,60527873
The Blues Brothers,27000000,57229890,57245093
The Jungle Book,27000000,44342956,44342956
Annabelle Comes Home,27000000,74152591,228517113
Money Monster,27000000,41012075,93466095
Lake Placid,27000000,31770413,31770413
Die Unendliche Geschichte,27000000,21300000,21427947
The Right Stuff,27000000,21500000,21500000
About a Boy,27000000,40803000,130759651
Lucky Number Slevin,27000000,22495466,55495466
Flawless,27000000,4485485,4485485
Spy Kids: All the Time in the World,27000000,38536376,80681183
Clerks,27000,3073428,3894240
Emily,27000,3547,3547
Pink Narcissus,27000,8231,8231
John Carter,263700000,73058679,282778100
Batman v Superman: Dawn of Justice,263000000,330360194,872395091
The Lion King,260000000,543638043,1654409423
Tangled,260000000,200821936,585727091
Rules Donât Apply,26700000,3652206,3871448
Paul Blart: Mall Cop,26000000,146336178,185904750
Blood Ties,26000000,42472,2923959
Self/Less,26000000,12279691,33667319
Motherless Brooklyn,26000000,9277736,18132937
The Curse of the Jade Scorpion,26000000,7496522,18496522
The Fifth Estate,26000000,3254172,6154172
Blood and Wine,26000000,1083350,1083350
The Face of an Angel,26000000,0,0
The Grimm Brothers' Snow White,26000000,5000,5000
Viy,26000000,0,34246770
Accidental Love,26000000,0,135436
Kindergarten Cop,26000000,91457688,202000000
The 40 Year-old Virgin,26000000,109449237,176276839
Freaky Friday,26000000,110222438,160822438
Highlander: The Final Dimension,26000000,13738574,13738574
Shakespeare in Love,26000000,100317794,279500000
The Raven,26000000,16008272,30601801
Final Destination 2,26000000,46896664,90396664
Pineapple Express,26000000,87341380,102404019
Philadelphia,26000000,77324422,201324422
Ever After: A Cinderella Story,26000000,65705772,65705772
Flatliners,26000000,61308153,61308153
Open Range,26000000,58331254,68613992
Red Eye,26000000,57891803,96666486
New Yearâs Eve,26000000,54544638,146850273
A Bridge Too Far,26000000,50800000,50800000
Pain & Gain,26000000,49875291,81275291
O Brother Where Art Thou?,26000000,45506619,75763814
Original Sin,26000000,16521410,16521410
In Good Company,26000000,45489752,63463195
Legion,26000000,40168080,67647574
Lawless,26000000,37397291,54393687
Clockstoppers,26000000,36985501,38788828
Silverado,26000000,33200000,33200000
Brothers,26000000,28544157,45043870
The Best of Me,26000000,26766213,41059418
Agent Cody Banks 2: Destination London,26000000,23514247,28703083
Bad Santa 2,26000000,17782176,23345113
Welcome to Mooseport,26000000,14469428,14494770
Spider-Man 3,258000000,336530303,894860230
The Hobbit: The Battle of the Five Armies,250000000,255119788,943328905
Captain America: Civil War,250000000,408084349,1151918521
The Fate of the Furious,250000000,225764765,1236703796
The Hobbit: The Desolation of Smaug,250000000,258241522,960238087
Harry Potter and the Half-Blood Prince,250000000,302089278,930673167
No Time to Die,250000000,0,0
Graduation Day,250000,23894000,23894000
Love and Other Catastrophes,250000,212285,743216
On the Outs,250000,49772,237816
The Motel,250000,51540,51540
The Canyons,250000,59671,62375
Happy Valley,250000,67665,67665
Sugar Town,250000,178095,178095
November,250000,191862,191862
I Married a Strange Person,250000,203134,203134
Cube,250000,489220,8969065
Chasing Amy,250000,12006514,15155095
Shotgun Stories,250000,46026,284174
Chuck&Buck,250000,1055671,1157672
The Incredibly True Adventure of Two Girls in Love,250000,2210408,2477155
Like Crazy,250000,3395391,3728400
Better Luck Tomorrow,250000,3802390,3809226
Sleight,250000,3930990,3934450
Lovely and Amazing,250000,4210379,4613482
American Desi,250000,902835,1366235
Nightlights,250000,21147,21147
Horse Camp,250000,0,0
UnDivided,250000,0,0
The Circus: Down the Road,250000,0,0
4/11,250000,0,0
Western Religion,250000,0,0
The Love Letter,250000,0,0
Shooting the Warwicks,250000,0,0
Rock the House,250000,0,0
Give Me Shelter,250000,0,0
Test,250000,18823,18823
The Sticky Fingers of Time,250000,18195,20628
Butterfly,250000,0,0
Jesus People,250000,0,0
The Frozen,250000,0,0
Ink,250000,0,0
The Christmas Bunny,250000,0,0
Rust,250000,0,0
Sunday School Musical,250000,0,0
Along the Roadside,250000,0,3234
Flipper,25530000,20080020,30593313
The Constant Gardener,25500000,33579798,86301599
W.,25100000,25534493,28575778
Teenage Mutant Ninja Turtles II: The Secret of …,25000000,78656813,78656813
Money Talks,25000000,41076865,41076865
Sheena,25000000,5778353,5778353
The Hoax,25000000,7164995,7164995
Ride Along,25000000,134202565,153733800
The Bodyguard,25000000,121945720,410945720
Schindlerâs List,25000000,96898818,322197132
Legally Blonde 2: Red White & Blonde,25000000,90639088,125339088
Scooby-Doo 2: Monsters Unleashed,25000000,84185387,180856996
Anchorman: The Legend of Ron Burgundy,25000000,84136909,89476265
Up in the Air,25000000,83823381,166842739
Freddy vs. Jason,25000000,82622655,114576403
Bridge to Terabithia,25000000,82234139,137984788
Jimmy Neutron: Boy Genius,25000000,80936232,102992536
Cloverfield,25000000,80048433,171302226
Dear John,25000000,80014842,142033509
There Will Be Blood,25000000,40222514,77208711
Fighting,25000000,23091010,32831707
Beautiful Boy,25000000,7634767,13314562
The Road,25000000,8114270,29206732
Serenity,25000000,8547045,13008804
Stone Cold,25000000,9286314,9286314
Captive State,25000000,5958315,9363210
Underclassman,25000000,5654777,5654777
Yi ge ren de wu lin,25000000,129115,129115
Say It Isn't So,25000000,5516708,5516708
Les petits mouchoirs,25000000,205505,48530887
On the Road,25000000,720828,9313302
Without Limits,25000000,780326,780326
Where the Truth Lies,25000000,872142,1415656
Venom,25000000,881745,881745
Me and Orson Welles,25000000,1190003,1190003
Jane Got a Gun,25000000,1513793,3771345
Bad Lieutenant: Port of Call New Orleans,25000000,1702112,12413949
Legend,25000000,1872994,42425450
BloodRayne,25000000,2405420,3711633
Tulip Fever,25000000,2455635,6792768
Carnage,25000000,2546747,38112154
Sgt. Stubby: An American Hero,25000000,3054285,3823620
Blindness,25000000,3073392,20052958
Bill & Ted Face the Music,25000000,3439660,6088898
King's Ransom,25000000,4008527,4049527
Tank Girl,25000000,4064333,4064333
Deception,25000000,4598506,12850033
The World's Fastest Indian,25000000,5128124,18991288
Mrs. Winterbourne,25000000,10039566,10039566
Possession,25000000,10103647,14805812
Brokedown Palace,25000000,10115014,11115766
Straw Dogs,25000000,10324441,11253821
The Greatest Game Ever Played,25000000,15331289,15468266
The Adventures of Pinocchio,25000000,15382170,36682170
Legend,25000000,15502112,23506237
Half Past Dead,25000000,15567860,19233280
Bright Lights Big City,25000000,16118077,16118077
Mary Queen of Scots,25000000,16648499,47020146
Unaccompanied Minors,25000000,16655224,21970831
The Counselor,25000000,16973715,71009334
Masterminds,25000000,17356894,30850666
The Ruins,25000000,17432844,22910563
Father Figures,25000000,17501244,21038441
Eurotrip,25000000,17718223,20718223
Punch-Drunk Love,25000000,17791031,24591031
CHiPS,25000000,18600152,23190292
Shark Night 3D,25000000,18877153,18877153
Shaun the Sheep,25000000,19375982,101850986
The Eagle,25000000,19490041,38993548
He Got Game,25000000,21567853,22411948
A Lot Like Love,25000000,21835784,41921590
The Box,25000000,15051977,34356760
The Next Best Thing,25000000,14983572,24355762
My Soul to Take,25000000,14744435,16727470
Lifeforce,25000000,11603545,11603545
Abandon,25000000,10719367,12219367
Gettysburg,25000000,10731997,10731997
Stop-Loss,25000000,10915744,11229035
Michael Collins,25000000,11092559,27572844
Big Trouble in Little China,25000000,11100000,11208970
The Lords of Dogtown,25000000,11273517,13424365
The Powerpuff Girls,25000000,11411644,16425701
The Conspirator,25000000,11538204,15907411
The 33,25000000,12227722,28287489
The Girl Next Door,25000000,14589444,31635150
Cirque du Soleil: Worlds Away,25000000,12512862,28012862
Battle of the Sexes,25000000,12638526,18445379
Angela's Ashes,25000000,13038660,13038660
Warrior,25000000,13657115,24215385
Hot Rod,25000000,13938332,14334401
Stealing Harvard,25000000,13973532,13973532
Maximum Risk,25000000,14102929,51702929
Fly Me To the Moon,25000000,14543943,43530281
War,25000000,22486409,40686409
Love Ranch,25000000,137885,146149
Sammy's avonturen: De geheime doorgang,25000000,0,71594792
The Sisterhood of the Traveling Pants,25000000,39053061,41560117
August: Osage County,25000000,37738810,50738810
Kiss of the Dragon,25000000,36833473,36833473
Million Dollar Arm,25000000,36447959,39217912
Beauty Shop,25000000,36351350,38351350
Just Mercy,25000000,36001502,50401502
What a Girl Wants,25000000,35990505,37216643
Jeepers Creepers 2,25000000,35623801,119923801
Peppermint,25000000,35418723,51800758
Good Luck Chuck,25000000,35017297,59183821
Cradle 2 the Grave,25000000,34657731,56434942
She's the Man,25000000,33889159,55279608
The Gambler,25000000,33680992,38718031
Mr. Beanâs Holiday,25000000,33302167,234981342
Motherâs Day,25000000,32492859,52367022
Bride of Chucky,25000000,32404188,50692188
Fist Fight,25000000,32187017,40286416
August Rush,25000000,31664162,64605762
Anacondas: The Hunt for the Blood Orchid,25000000,31526393,70326393
The Sitter,25000000,30542576,38749404
Undercover Brother,25000000,38230435,40796145
Rugrats Go Wild,25000000,39402572,55443032
Matilda,25000000,0,9755282
The Wild Thornberrys Movie,25000000,40108697,60694737
The Passion of the Christ,25000000,370782930,622313635
Mrs. Doubtfire,25000000,219195051,441286003
Rain Man,25000000,172825435,412800000
The Help,25000000,169705587,213120004
Hidden Figures,25000000,169607287,231771716
Gran Torino,25000000,148095302,274543085
Taken,25000000,145000989,226941585
The Hours,25000000,41675994,97030468
The Beverly Hillbillies,25000000,42222647,55598481
The Night Before,25000000,43035725,52568099
The Last Emperor,25000000,43984987,44005073
Nothing To Lose,25000000,44480039,64594061
Scarface,25000000,44942821,44942821
The Giver,25000000,45090374,66540205
Goodfellas,25000000,46743809,47026721
Nanny McPhee,25000000,47279279,128745578
Agent Cody Banks,25000000,47545060,58240458
The House Bunny,25000000,48237389,71390601
Cobra,25000000,49042224,49042224
Elizabeth,25000000,30082699,82150642
Tora! Tora! Tora!,25000000,29548291,29548291
Spice World,25000000,29342592,56042592
Romeo Must Die,25000000,55973336,91036760
The Lucky One,25000000,60457138,96633833
Draft Day,25000000,28842237,29847480
Contraband,25000000,66528000,98406855
No Strings Attached,25000000,70662220,149228078
Chocolat,25000000,71309760,152500343
Bridget Jones's Diary,25000000,71500556,281527158
No Country for Old Men,25000000,74273505,164035753
The Untouchables,25000000,76270454,76271995
Parental Guidance,25000000,77267296,120832383
Reagan,25000000,0,0
The Adventurer: The Curse of the Midas Box,25000000,0,0
Waterloo,25000000,0,0
Red Sky,25000000,0,91116
Ironclad,25000000,0,5297411
The Professor and the Madman,25000000,0,6218944
La vÃ©ritable histoire du Chat BottÃ©,25000000,0,8208594
Belka i Strelka. Zvezdnye sobaki,25000000,0,9445081
Tombstone,25000000,56505065,56505065
A Dogâs Purpose,25000000,64321890,203055427
The Omen,25000000,54607383,119295584
Don't Be Afraid of the Dark,25000000,24046682,39126427
The Shawshank Redemption,25000000,28241469,28417106
Rings,25000000,27793018,82917283
Dance Flick,25000000,25794018,32224624
Crocodile Dundee in Los Angeles,25000000,25590119,39393111
Kingpin,25000000,25023424,32223424
Final Destination 3,25000000,54098051,112798051
Ice Princess,25000000,24381334,25732334
Don Juan DeMarco,25000000,22032635,22032635
The Losers,25000000,23591432,29863840
Hide and Seek,25000000,51100486,123696741
The Grey,25000000,51580136,81249176
Finding Neverland,25000000,51676606,115036108
Tyler Perry's A Madea Christmas,25000000,52543354,52543354
Madea\'s Big Happy Family,25000000,53345287,54160818
Deep Throat,25000,45000000,45000000
The Terrorist,25000,195043,195043
Exeter,25000,0,489792
Manito,25000,0,0
Ten,25000,0,0
Dutch Kills,25000,0,0
In the Company of Men,25000,2883661,2883661
The Big Parade,245000,11000000,22000000
Little Big Top,240000,7484,7484
Dangerous Liaisons,24200000,17000,10447579
The Whole Nine Yards,24000000,57262492,85527867
The Thief and the Cobbler,24000000,669276,669276
Win a Date with Tad Hamilton!,24000000,16980098,17589829
Zack and Miri Make a Porno,24000000,31457946,36856306
Double Take,24000000,29823162,29823162
Girl Interrupted,24000000,28871190,28871190
Nurse Betty,24000000,25170054,27732366
Piranha 3D,24000000,25003155,83660160
Faster,24000000,23240020,35792945
The Wiz,24000000,22000000,22000000
Muppets From Space,24000000,16304786,16304786
The Bridge of San Luis Rey,24000000,49981,1696765
Ready to Rumble,24000000,12372410,12372410
Foxcatcher,24000000,12096300,19303058
I Don't Know How She Does It,24000000,9659074,24474463
Play it to the Bone,24000000,8427204,8427204
Dhoom 3,24000000,8031955,11723620
Beyond the Sea,24000000,6144806,8292914
Hauru no ugoku shiro,24000000,4710455,237814327
The Men Who Stare at Goats,24000000,32428195,67348218
Return to Me,24000000,32662299,32662299
Hello Dolly,24000000,33208099,33208099
Fences,24000000,57682904,64282881
Star Trek IV: The Voyage Home,24000000,109713132,133000000
Scream 2,24000000,101363301,172363301
The Addams Family,24000000,97864733,200612027
Old School,24000000,75155000,86737464
Rocky Balboa,24000000,70269899,156229050
Hitman,24000000,39687694,99135571
Think Like a Man Too,24000000,65028687,70027933
Flood,24000000,0,4084232
Footloose,24000000,51802742,62989834
Going in Style,24000000,45018541,80812424
Point Break,24000000,43218387,83531958
The Fisher King,24000000,41798224,41798224
I Still Know What You Did Last Summer,24000000,40020622,40020622
Meet the Deedles,24000000,4356126,4356126
Avatar,237000000,760507625,2788701337
Superman Returns,232000000,200120000,391081192
Quantum of Solace,230000000,169368427,591692078
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137
The Dark Knight Rises,230000000,448139099,1082228107
Bronson,230000,104979,2703762
Zombieland,23600000,75590286,102236596
Star Wars Ep. V: The Empire Strikes Back,23000000,291738960,549025718
Eddie the Eagle,23000000,15789389,45060480
Shi Yue Wei Cheng,23000000,0,44195779
ChÄi dÃ n zhuÄnjiÄ,23000000,0,58807172
Rogue,23000000,10452,4673377
Redemption,23000000,36686,13593473
ChÃ©ri,23000000,2715657,2715657
Coco avant Chanel,23000000,6113834,50813834
In the Valley of Elah,23000000,6777741,24489150
Harley Davidson and the Marlboro Man,23000000,7018525,7018525
The End of the Affair,23000000,10660147,10660147
The Longshots,23000000,11511323,11778396
Chasing Liberty,23000000,12189514,12291975
Marvin's Room,23000000,12803305,12803305
The Crew,23000000,13019253,13019253
Vanity Fair,23000000,16123851,19123851
Anywhere But Here,23000000,18653615,18653615
Jaws 4: The Revenge,23000000,15728335,15728335
Final Destination,23000000,53302314,112036870
The Waterboy,23000000,161491646,190191646
The Naked Gun 2Â½: The Smell of Fear,23000000,86930411,86930411
Green Book,23000000,85080171,320029388
Dangerous Minds,23000000,84919401,178919401
Bad Boys,23000000,65647413,141247413
The Wedding Ringer,23000000,64460211,80171596
King Kong,23000000,52614445,90614445
Kari gurashi no Arietti,23000000,19192510,151496097
The Ides of March,23000000,40962534,77735925
Pitch Black,23000000,39235088,53182088
The Hate U Give,23000000,29719483,35067665
Someone Like You,23000000,27338033,38684906
Her,23000000,25568251,48043998
Joy Ride,23000000,21973182,22204890
Haywire,23000000,18942396,36374700
The Way Back,23000000,13590514,14563409
Slacker,23000,1227508,1227508
The Avengers,225000000,623357910,1515100211
The Lone Ranger,225000000,89302115,260002115
The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
Man of Steel,225000000,291045518,667999518
Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812
Burn,225000,1109276,1109276
Embrace,225000,412340,1611592
Urbania,225000,1032075,1032075
Battleship,220000000,65233400,313477717
The Amazing Spider-Man,220000000,262030663,757890267
Spaceballs,22700000,38119483,38119483
1408,22500000,71985628,131263370
Nocturnal Animals,22500000,10663357,32398681
The Water Diviner,22500000,4200117,31054727
Gandhi,22000000,52767889,127767889
Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577
Homefront,22000000,20158492,51695362
The Informant!,22000000,33316821,41771168
Igor,22000000,19528602,31013349
Saving Silverman,22000000,19351569,25873142
Summer of Sam,22000000,19288130,19288130
The Glass House,22000000,17951431,22861785
The Transporter Refueled,22000000,16029670,69698495
The Island,22000000,15716828,15716828
Josie and the Pussycats,22000000,14252830,14307223
Hit & Run,22000000,13749300,17216955
The Little Vampire,22000000,13555988,13560782
I Heart Huckabees,22000000,12784713,20034713
Roman J. Israel Esq.,22000000,11962712,12967012
Mad Money,22000000,20668843,25044057
Deuce Bigalow: European Gigolo,22000000,22400154,45273464
The Hundred-Foot Journey,22000000,54235441,94270488
Traitor,22000000,23530831,27882226
The Animal,22000000,55762229,55762229
Son of God,22000000,59700064,70949793
The Bridges of Madison County,22000000,71516617,175516617
The Rookie,22000000,75600072,80491516
The Game Plan,22000000,90648202,146590987
The Nun,22000000,117450119,363391647
The Santa Clause,22000000,144833357,189800000
There's Something About Mary,22000000,176484651,369884651
Underworld,22000000,51970690,95708457
The Net,22000000,50621733,110521733
Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695
I Am Sam,22000000,40270895,92542418
The Gentlemen,22000000,36471796,113876604
RoboCop 3,22000000,10696210,10696210
Derailed,22000000,36020063,57520063
Jay and Silent Bob Strike Back,22000000,30059386,33762400
Shadowlands,22000000,25842377,25842377
Out of the Furnace,22000000,11330849,15434375
Dudley Do-Right,22000000,9818792,9818792
Hail Caesar!,22000000,30080225,64220196
Stone,22000000,1810078,4065020
Just Getting Started,22000000,6069605,6756412
Ghost,22000000,217631306,517600000
Metegol,22000000,0,34061097
Joyeux NoÃ«l,22000000,1054361,23134075
Delivery Man,22000000,30659817,55616322
Before I Go to Sleep,22000000,3242457,19563579
Megiddo: Omega Code 2,22000000,6047691,6047691
The Libertine,22000000,4835065,9448623
Zwartboek,22000000,4398532,27238354
Darling Lili,22000000,5000000,5000000
Dry Spell,22000,0,0
Transformers: The Last Knight,217000000,130168683,602893340
Men in Black 3,215000000,179020854,654213485
Jurassic World,215000000,652270625,1669943967
Robin Hood,210000000,105487148,322459006
X-Men: The Last Stand,210000000,234362462,459260946
Transformers: Age of Extinction,210000000,245439076,1104054072
Transformers: Revenge of the Fallen,210000000,402111870,836519699
The Beast from 20000 Fathoms,210000,5000000,5000000
MoliÃ¨re,21600000,635733,791154
Sorcerer,21600000,12000000,12005968
Arlington Road,21500000,24419219,24419219
Michael Clayton,21500000,49033882,92987651
To Rome with Love,21500000,16684352,74290305
My Fellow Americans,21500000,22331846,22331846
Velvet Buzzsaw,21000000,0,0
Victoria and Abdul,21000000,22245070,68271146
Robot Overlords,21000000,0,991329
Molly,21000000,17396,17396
Bitter Harvest,21000000,557241,606162
The Beaver,21000000,970816,5046038
Moonlight Mile,21000000,6830957,6830957
Away We Go,21000000,9451946,10108016
Swing Vote,21000000,16289867,17589867
The Rage: Carrie 2,21000000,17760244,17760244
The Bachelor,21000000,21731001,36882378
Freedom Writers,21000000,36605602,43632609
Tinker Tailor Soldier Spy,21000000,24149393,81452811
Never Back Down,21000000,24850922,39319801
The Transporter,21000000,25296447,43928932
Kidnap,21000000,30718107,34836080
The Hustle,21000000,35417038,97409779
For Colored Girls,21000000,37729698,38017873
Hardball,21000000,40222729,43728560
Death at a Funeral,21000000,42739347,48977233
South Park: Bigger Longer & Uncut,21000000,52037603,52037603
Pet Sematary,21000000,54724696,111809732
Blockers,21000000,60311495,94523781
Silver Linings Playbook,21000000,132092958,236412453
Firefox,21000000,45785720,45785720
Teenage Mutant Ninja Turtles III,21000000,42273609,42273609
King Kong,207000000,218080025,550517357
Tenet,205000000,55100000,348494842
The Golden Compass,205000000,70107728,367262558
Monsters University,200000000,268488329,743588329
Mulan,200000000,0,69950844
Dark Phoenix,200000000,65845974,246356895
Prince of Persia: Sands of Time,200000000,90759676,336359676
Green Lantern,200000000,116601172,219535492
Terminator Salvation,200000000,125322469,365491792
Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,651280475
2012,200000000,166112167,757677748
Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,759765123
Cars 2,200000000,191450875,560155383
The Amazing Spider-Man 2,200000000,202853933,708996336
X-Men: Days of Future Past,200000000,233921534,747862775
Oz the Great and Powerful,200000000,234770996,490359051
Tron: Legacy,200000000,172062763,400062763
The Hobbit: An Unexpected Journey,200000000,303003568,1017003568
Toy Story 4,200000000,434038008,1073394813
Skyfall,200000000,304360277,1110526981
Titanic,200000000,659363944,2207986545
Star Wars Ep. VIII: The Last Jedi,200000000,620181382,1332539889
Incredibles 2,200000000,608581744,1242805359
Rogue One: A Star Wars Story,200000000,532177324,1055135598
Finding Dory,200000000,486295561,1025006125
Black Panther,200000000,700059566,1336547105
Toy Story 3,200000000,415004880,1068879522
Iron Man 3,200000000,408992272,1215392272
Guardians of the Galaxy Vol 2,200000000,389813101,869113101
Spider-Man 2,200000000,373524485,794697557
Alice in Wonderland,200000000,334191110,1025491110
The Overnight,200000,1109808,1165996
Baghead,200000,140016,140016
Hybrid,200000,162605,162605
The Business of Fancy Dancing,200000,174682,174682
Call+Response,200000,212989,212989
Middle of Nowhere,200000,236806,236806
Short Cut to Nirvana: Kumbh Mela,200000,381225,439651
She Done Him Wrong,200000,2000000,2000000
Trois,200000,1161843,1161843
Side Effects,200000,44701,44701
The Grace Card,200000,2430735,2430735
Per un pugno di dollari,200000,3500000,3527522
Swingers,200000,4505922,6618578
20000 Leagues Under the Sea,200000,8000000,8000000
Malevolence,200000,126021,346106
H.,200000,0,0
Good Dick,200000,28835,52443
The Case of the Grinning Cat,200000,7033,7033
Solitude,200000,6260,6260
The Stewardesses,200000,13500000,25000000
The Word,200000,3648,3648
The Trials of Darryl Hunt,200000,1217,1217
Deathgasm,200000,0,14685
The Man From Earth,200000,0,0
Samantha: An American Girl Holiday,200000,0,0
Yesterday Was a Lie,200000,0,0
Archaeology of a Woman,200000,0,0
Sanctuary; Quite a Conundrum,200000,0,0
Theresa Is a Mother,200000,0,0
Perfect Cowboy,200000,0,0
Mad Max,200000,8750000,99750000
eXistenZ,20700000,2840417,2840417
Hustlers,20700000,104963598,150472713
Pulse,20500000,20264436,30241435
The Best Little Whorehouse in Texas,20500000,69701637,69701637
Nerve,20000000,38583626,85583945
Conan the Barbarian,20000000,38264085,79114085
Simon Birch,20000000,18253415,18310591
High Fidelity,20000000,27277055,47881663
The Stepfather,20000000,29062561,29227561
Wild Things,20000000,29795299,55576699
The Bank Job,20000000,30060660,66143005
Daybreakers,20000000,30101577,51445503
Ghost Ship,20000000,30113491,68349884
The Debt,20000000,31177548,46604054
Paint Your Wagon,20000000,31678778,31678778
Milk,20000000,31841299,57293371
She's Out of My League,20000000,32010860,48680977
Scary Movie V,20000000,32015787,78613981
Copycat,20000000,32051917,32051917
Team America: World Police,20000000,32774834,50948811
Doubt,20000000,33446470,53191101
Stick It,20000000,26910736,30399714
Babel,20000000,34302837,132121212
Texas Chainsaw 3D,20000000,34341945,47666013
Eternal Sunshine of the Spotless Mind,20000000,34366518,72401378
A Very Harold & Kumar 3D Christmas,20000000,35061031,36265745
Selena,20000000,35450113,35450113
The Black Hole,20000000,35841901,35841901
Vampires Suck,20000000,36661504,81424988
Risen,20000000,36880033,46255763
Man of the Year,20000000,37442180,41342180
Bill & Ted's Bogus Journey,20000000,37537675,37540024
How Stella Got Her Groove Back,20000000,37672944,37672944
This is Where I Leave You,20000000,34296320,41296320
Lakeview Terrace,20000000,39263506,44821299
One Missed Call,20000000,26890041,44513466
Eye for an Eye,20000000,26792700,26792700
Into the Wild,20000000,18354356,56822960
Ladyhawke,20000000,18400000,18400000
Under the Rainbow,20000000,18826490,18826490
Georgia Rule,20000000,18882880,20819601
My Best Friend's Girl,20000000,19219250,34787111
Reign Over Me,20000000,19661987,20081987
Yu-Gi-Oh,20000000,19762690,28715003
Secret in Their Eyes,20000000,20180155,32608019
Appaloosa,20000000,20211394,27911453
Vampires,20000000,20268825,20268825
Shorts,20000000,20919166,29870801
To Die For,20000000,21284514,27688744
Quigley Down Under,20000000,21413105,21413105
Psycho,20000000,21541218,37226218
Rough Night,20000000,22105643,46844357
2 For the Money,20000000,22991379,30491379
Stay Alive,20000000,23086480,23187506
Monte Carlo,20000000,23186769,39686769
The Covenant,20000000,23364784,38164784
Endless Love,20000000,23438250,34718173
On the Basis of Sex,20000000,24704837,38883444
Alpha and Omega 3D,20000000,25107267,48958353
Nancy Drew,20000000,25584685,30703845
You Again,20000000,25702053,32838945
From Dusk Till Dawn,20000000,25728961,25736094
The World's End,20000000,26004851,47124638
Street Kings,20000000,26418667,65457811
The Grudge 2,20000000,39143839,70743839
Obsessed,20000000,68261644,73964713
Epic Movie,20000000,39739367,86858578
Bad Moms,20000000,113257297,180998716
Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,73206343
Tyler Perryâs A Madea Family Funeral,20000000,73257045,74781999
Free Willy,20000000,77698625,153698625
Cocktail,20000000,78222753,78222753
Disturbia,20000000,80818974,118537627
School of Rock,20000000,81261177,131944672
The Descendants,20000000,82624961,175507800
Are We There Yet?,20000000,82674398,98114471
Good Boys,20000000,83140306,111173353
Tammy,20000000,84525432,96407655
Beverly Hills Chihuahua,20000000,94514402,154218168
Jaws 2,20000000,102922376,208900376
Glass,20000000,111048468,246999039
